# Optical Values of phe_ex.out (Excited State)

# Rotatory Strength (erg esu cm Gauss^(-1))
Coordinate	S1
89.9999781989	3.4254	
99.9999781989	3.6921	
109.9999781989	3.9357	
119.9999781989	4.2152	
129.9999781989	4.5633	
139.9999781989	4.9225	
149.9999781989	5.1299	
159.9999781989	5.1875	
169.9999781989	5.1447	
179.9999781989	5.0180	
189.9999781989	4.8460	
199.9999781989	4.6038	
209.9999781989	4.2699	
219.9999781989	3.6753	
229.9999781989	2.2480	
239.9999781989	2.1610	
249.9999781989	2.5472	
259.9999781989	2.9739	
269.9999781989	3.3398	

# Oscillator Strength
Coordinate	S1
89.9999781989		0.0009
99.9999781989		0.0010
109.9999781989		0.0011
119.9999781989		0.0011
129.9999781989		0.0012
139.9999781989		0.0013
149.9999781989		0.0014
159.9999781989		0.0014
169.9999781989		0.0013
179.9999781989		0.0013
189.9999781989		0.0012
199.9999781989		0.0011
209.9999781989		0.0010
219.9999781989		0.0008
229.9999781989		0.0004
239.9999781989		0.0005
249.9999781989		0.0007
259.9999781989		0.0008
269.9999781989		0.0009

# Average of Oscillator Strength
S1
0.00102105263157895	

# g-factor
Coordinate	S1
89.9999781989	-0.876474065622056
99.9999781989	-0.944881343498777
109.9999781989	-0.992466309374152
119.9999781989	-1.03058815937199
129.9999781989	-1.06952716552088
139.9999781989	-1.11177869137713
149.9999781989	-1.14792146169177
159.9999781989	-1.18027379079042
169.9999781989	-1.20193610810199
179.9999781989	-1.20565970316397
189.9999781989	-1.19384007598047
199.9999781989	-1.15933193714636
209.9999781989	-1.09257136033206
219.9999781989	-0.937154142945275
229.9999781989	-0.520519731051552
239.9999781989	-0.510115825731481
249.9999781989	-0.625268030202216
259.9999781989	-0.751280602412505
269.9999781989	-0.854723985176757

# Angle of ETDM and MTDM (degree)
Coordinate	S1
89.9999781989	93.2358680348508
99.9999781989	93.4872529522721
109.9999781989	93.6906280744656
119.9999781989	93.8924880219266
129.9999781989	94.1244753527393
139.9999781989	94.3704425934809
149.9999781989	94.5328548353001
159.9999781989	94.6213959274758
169.9999781989	94.6434669032206
179.9999781989	94.5929806466515
189.9999781989	94.4923122431037
199.9999781989	94.3152316888547
209.9999781989	94.0336416386104
219.9999781989	93.4635255313476
229.9999781989	92.0181477646449
239.9999781989	91.9591094852344
249.9999781989	92.3555756608371
259.9999781989	92.7917821987737
269.9999781989	93.1545017765667

