# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       89.9999781989     -554.6395512520
       99.9999781989     -554.6399418440
      109.9999781989     -554.6399500420
      119.9999781989     -554.6396552790
      129.9999781989     -554.6391108390
      139.9999781989     -554.6384130470
      149.9999781989     -554.6376489250
      159.9999781989     -554.6368127630
      169.9999781989     -554.6358797680
      179.9999781989     -554.6348724630
      189.9999781989     -554.6338641710
      199.9999781989     -554.6329810020
      209.9999781989     -554.6323628820
      219.9999781989     -554.6322274100
      229.9999781989     -554.6332144010
      239.9999781989     -554.6352596280
      249.9999781989     -554.6371187590
      259.9999781989     -554.6385321450
      269.9999781989     -554.6394491680
