# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       89.9998859946     -921.0157416220
       99.9998859946     -921.0156203310
      109.9998859946     -921.0151173570
      119.9998859946     -921.0136331920
      129.9998859946     -921.0105409040
      139.9998859946     -921.0053152490
      149.9998859946     -920.9974994790
      159.9998859946     -920.9867287610
      169.9998859946     -920.9727969400
      179.9998859946     -920.9557218960
      189.9998859946     -920.9358551440
      199.9998859946     -920.9140336170
      209.9998859946     -920.9974992410
      219.9998859946     -921.0053151330
      229.9998859946     -921.0105408390
      239.9998859946     -921.0136331830
      249.9998859946     -921.0151151780
      259.9998859946     -921.0156194670
      269.9998859946     -921.0157416220
