# Optical Values of lactic_acid_tddft_outs (Ground State)

# Rotatory Strengths (erg esu cm Gauss^(-1))
Coordinate	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
30.0001019068	-4.6510	-0.6810	13.9186	-8.8663	8.8974	48.0145	-34.6461	-3.6331	-11.0831	-6.3709	5.2261	-10.7681	-7.9204	-23.5078	19.4548	8.2473	
40.0001019068	-5.8048	-1.6690	10.7966	-5.5597	14.6827	46.8332	-19.1800	-7.1812	-11.4343	-6.7339	0.5221	-24.0450	-20.6455	-13.2176	18.9406	12.3985	
50.0001019068	-6.4297	-3.0235	9.0759	-0.8567	17.8845	38.9112	7.9588	-15.6712	-12.5544	-7.3842	-1.9234	-23.6277	-28.3494	8.6455	-8.5934	12.7719	
60.0001019068	-6.4071	-4.3996	8.3016	22.8257	-0.5011	28.9390	42.6816	-30.4107	-13.9825	-9.0546	-0.7743	-16.3056	-35.2120	3.4250	-10.8423	2.7856	
70.0001019068	-5.8228	-5.3678	7.5316	23.0384	1.6748	18.9189	69.2730	-41.0998	-11.7794	-12.5733	3.6098	-10.7073	3.2403	-41.4830	-10.9097	-7.0303	
80.0001019068	-4.9696	-5.5397	6.2976	21.3592	3.3223	10.4927	80.3638	-45.7337	-4.6989	-15.3807	9.9393	-5.8131	3.3112	-44.8812	-6.6034	-17.9172	
90.0001019068	-4.1135	-4.7665	6.1052	17.1305	4.1629	5.5100	72.8693	-24.3118	-17.3035	-10.5751	16.4417	-2.1329	0.4202	-44.7454	-1.5719	-26.9537	
100.0001019068	-3.4010	-3.2866	10.7361	7.0037	4.5426	4.1619	51.0873	-2.3297	-20.2518	-4.6251	21.3068	-0.6859	-1.4876	-44.8630	-0.5017	-29.9831	
110.0001019068	-2.8905	-1.1926	9.7717	1.5264	4.4130	6.0646	28.0286	1.3297	-0.7753	-2.4545	22.8624	-2.1799	-1.3002	-41.6455	-5.0012	-29.4682	
120.0001019068	-2.4762	1.4384	5.9674	-2.1792	3.3972	10.2824	16.7035	-7.2729	21.4070	-2.1356	19.4030	-5.0268	1.3788	-7.9730	-40.2315	-27.8542	
130.0001019068	-2.1158	4.6574	1.3227	-6.2943	1.4017	16.1226	10.0533	-15.6560	35.7031	0.5690	11.3512	-7.2917	-3.1316	-5.2374	-35.6819	-25.1735	
140.0001019068	-1.7212	7.9410	-11.5357	-2.8629	-0.9125	22.2282	-6.7230	-6.3271	36.4343	5.5789	2.3216	-13.2550	5.8426	-13.1772	-25.7639	-22.4312	
150.0001019068	-1.2645	10.5583	-17.1033	-5.5162	-2.5035	26.9658	-13.8919	0.4980	24.9441	8.7972	-3.2448	-8.8106	-9.7373	-10.1791	-4.3216	-23.7026	
160.0001019068	-0.8087	11.7821	-21.4279	-4.4002	-3.8305	29.6460	-15.5392	0.6745	12.1930	7.6674	-3.6275	-10.6336	-0.8681	-15.1567	10.1171	-25.2383	
170.0001019068	-0.4695	11.3476	-22.8573	-1.5207	-2.8467	33.9082	-22.6685	-0.6671	2.9147	4.3696	-0.6883	-0.2955	-3.4253	-10.6817	11.7538	-19.3857	
180.0001019068	-0.2128	9.5494	-19.9993	-1.3445	2.4147	48.1702	-42.4158	0.6959	-6.6024	2.1794	2.6211	10.6871	-5.0141	-6.6611	6.8261	0.9316	
190.0001019068	-0.0060	7.2026	-2.1704	-13.5035	7.7274	62.5309	-60.8630	-1.6425	-11.6645	3.6220	2.2182	23.2020	-6.4222	-8.1181	1.3490	2.6724	
200.0001019068	0.7379	4.3650	10.2751	-19.4619	12.7321	48.3830	-50.3210	-13.6227	-5.7093	3.3272	2.0759	35.8159	-8.4307	-15.4872	1.6946	6.2593	
210.0001019068	2.0968	0.8928	11.3711	-15.6201	17.5008	27.3933	-30.1513	-19.9714	-5.2629	1.6472	1.7860	46.7696	-18.7802	-8.9772	0.0718	2.0063	

# Oscillator Strength
Coordinate	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
30.0001019068	0.0009	0.0021	0.0263	0.0052	0.0148	0.0588	0.0161	0.0127	0.0407	0.0012	0.0030	0.0271	0.0077	0.0182	0.0253	0.0183
40.0001019068	0.0012	0.0005	0.0273	0.0024	0.0141	0.0696	0.0145	0.0155	0.0442	0.0013	0.0012	0.0368	0.0291	0.0042	0.0150	0.0256
50.0001019068	0.0016	0.0004	0.0268	0.0005	0.0121	0.0783	0.0137	0.0194	0.0453	0.0013	0.0004	0.0153	0.0688	0.0121	0.0063	0.0169
60.0001019068	0.0018	0.0017	0.0248	0.0080	0.0016	0.0837	0.0173	0.0226	0.0434	0.0018	0.0011	0.0067	0.0835	0.0189	0.0122	0.0021
70.0001019068	0.0019	0.0039	0.0215	0.0075	0.0007	0.0865	0.0227	0.0278	0.0361	0.0040	0.0046	0.0038	0.0038	0.1020	0.0224	0.0016
80.0001019068	0.0018	0.0066	0.0168	0.0066	0.0021	0.0873	0.0234	0.0367	0.0280	0.0076	0.0118	0.0020	0.0052	0.0910	0.0264	0.0131
90.0001019068	0.0016	0.0096	0.0101	0.0079	0.0037	0.0864	0.0177	0.0128	0.0627	0.0058	0.0224	0.0012	0.0084	0.0726	0.0198	0.0299
100.0001019068	0.0013	0.0127	0.0034	0.0103	0.0049	0.0841	0.0103	0.0008	0.0866	0.0020	0.0341	0.0011	0.0101	0.0563	0.0145	0.0362
110.0001019068	0.0010	0.0153	0.0019	0.0090	0.0057	0.0808	0.0056	0.0005	0.0912	0.0008	0.0439	0.0009	0.0094	0.0415	0.0148	0.0315
120.0001019068	0.0007	0.0168	0.0015	0.0089	0.0065	0.0773	0.0034	0.0005	0.0892	0.0023	0.0477	0.0009	0.0034	0.0153	0.0348	0.0225
130.0001019068	0.0005	0.0167	0.0021	0.0106	0.0066	0.0751	0.0015	0.0032	0.0825	0.0051	0.0439	0.0013	0.0035	0.0044	0.0374	0.0136
140.0001019068	0.0005	0.0153	0.0166	0.0014	0.0052	0.0751	0.0003	0.0070	0.0719	0.0079	0.0343	0.0076	0.0022	0.0045	0.0203	0.0172
150.0001019068	0.0005	0.0130	0.0245	0.0016	0.0027	0.0765	0.0007	0.0120	0.0561	0.0093	0.0243	0.0088	0.0047	0.0119	0.0084	0.0181
160.0001019068	0.0005	0.0104	0.0335	0.0013	0.0009	0.0770	0.0017	0.0156	0.0407	0.0077	0.0172	0.0035	0.0106	0.0133	0.0119	0.0190
170.0001019068	0.0005	0.0079	0.0408	0.0002	0.0016	0.0751	0.0049	0.0082	0.0381	0.0040	0.0136	0.0034	0.0122	0.0117	0.0177	0.0135
180.0001019068	0.0005	0.0058	0.0450	0.0007	0.0021	0.0665	0.0131	0.0061	0.0349	0.0013	0.0118	0.0047	0.0130	0.0098	0.0198	0.0011
190.0001019068	0.0005	0.0041	0.0403	0.0083	0.0031	0.0519	0.0237	0.0114	0.0323	0.0097	0.0008	0.0079	0.0124	0.0103	0.0177	0.0034
200.0001019068	0.0005	0.0027	0.0150	0.0346	0.0047	0.0460	0.0189	0.0474	0.0095	0.0074	0.0014	0.0144	0.0129	0.0183	0.0063	0.0206
210.0001019068	0.0004	0.0011	0.0164	0.0324	0.0061	0.0368	0.0124	0.0370	0.0379	0.0060	0.0026	0.0245	0.0195	0.0124	0.0023	0.0276

# Average of Oscillator Strength
S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
0.000957894736842105	0.00771578947368421	0.0207684210526316	0.00828421052631579	0.00522105263157895	0.0722526315789474	0.0116789473684211	0.0156421052631579	0.0511210526315789	0.00455263157894737	0.0168473684210526	0.00904736842105263	0.0168631578947368	0.0278263157894737	0.0175421052631579	0.0174631578947368	

# g-factor
Coordinate	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
30.0001019068	0.122942045160066	0.168094571425306	-1.01022727384495	0.671138640424827	-0.433224198960696	-0.696369517424114	0.562035791986712	0.453250982158062	0.748728065195512	0.505707565144813	-1.01748294760807	0.367538522478289	0.770254492586307	1.77559952363065	-0.362912894432161	-1.39513639535625
40.0001019068	0.149160977792826	0.42726892377242	-0.765762274344531	0.52298235535003	-0.657209453667375	-0.712825390978872	0.30021974076777	0.763775893219767	0.690887858556717	0.596258599556656	-0.111350153922591	0.738506262035138	1.89919391530791	0.907921155762372	-0.332314262440802	-1.37685442845846
50.0001019068	0.159321721315999	0.728295576568868	-0.660320982234835	0.0843463805575013	-0.777527533444644	-0.654711575243894	-0.115643576287529	1.22440848691506	0.686523740409037	0.660217615205262	0.648780244473782	1.08945521433976	1.20386189195266	-0.146700538024849	0.592684848279445	-1.49111722638183
60.0001019068	0.153081341443069	0.939720269701533	-0.650569428120046	-0.705328799071617	0.293799628082528	-0.560085286399514	-0.594624628929318	1.49450014344027	0.719947127963629	0.764988482634234	0.447927039986913	1.19595721761041	1.08105982845058	-0.0580225368824026	0.84680481445428	-0.301819301523388
70.0001019068	0.134736688460089	1.0093185013355	-0.667599933525105	-0.714957720646786	-0.543120956412878	-0.423736660950874	-0.926787290933681	1.45252885540154	0.66165202743874	0.909510474680172	-1.54587380264482	1.00513272824554	-0.0548330038840878	1.22541740895374	0.918631834263248	0.582417448378066
80.0001019068	0.112211981284657	0.941050652791694	-0.661442968026874	-0.658387300450252	-0.883424630378213	-0.262434836384368	-1.01947988092379	1.36872935970574	0.314850205854737	0.966791944112943	-1.87512865401582	0.678783589187842	-0.0524112812518863	1.60119634532917	0.653223380137157	1.07825334697751
90.0001019068	0.0918728817800712	0.760712898696956	-0.597202743693393	-0.576646919638604	-1.00640204646808	-0.142737469740269	-0.910242499182866	1.28458427344625	0.475029571964708	0.842447322532568	-1.5937605019123	0.328680084936034	-0.00663565311788695	1.77763413390398	0.218237708852074	1.2210346219671
100.0001019068	0.0758942031360887	0.50557274445472	-0.491000302484342	-0.430590308472147	-1.14332072272109	-0.104499011564871	-0.721252587693961	0.11348353897983	0.393774909370074	0.660708902018076	-1.303977977028	0.12006174092507	0.0229079949147002	1.87534757608409	0.0895493574848692	1.18991193025507
110.0001019068	0.0652378675241408	0.173889314359162	-0.361403039476011	-0.148293753894025	-1.26314930042574	-0.140643760562133	-0.569916864163335	-0.0319243174868796	0.0145870215163218	0.522102386320586	-1.04583297734162	0.18070909271012	0.0243253320020286	1.7800555795637	0.751300211496052	1.13119573538253
120.0001019068	0.0570263312525471	-0.189785517167691	-0.208194797510537	0.233201749576233	-1.059574855269	-0.215905377574331	-0.405512346268351	0.155690311705399	-0.418671761760139	0.257963464705311	-0.769859607317831	0.211984890109037	-0.050579859414894	0.626218106642292	1.64464013985375	1.04283948381437
130.0001019068	0.0495731474859079	-0.550883391856832	-0.0437975386161132	0.595914738235653	-0.405004588755181	-0.309681709725598	-0.169328387083266	0.655182748353462	-0.802081890021885	-0.0377584123999179	-0.447988129210226	0.243505558315348	1.23993656357392	0.491887949925286	1.26730810635966	0.709964984976945
140.0001019068	0.0411444592473747	-0.868472046126384	0.8499188418349	0.0916628587346245	0.213659380358002	-0.398639803696148	0.0883519105099149	1.42176276124542	-1.05711553448925	-0.270055207575227	-0.101972244298823	1.57707293836575	-0.219984707879971	0.911115559204749	1.86917376217091	0.62432084023619
150.0001019068	0.0308378301960433	-1.13547120294425	1.08191680753077	0.164789038339778	0.451548308508591	-0.461647451647102	0.178432488480351	-0.10597073803353	-1.11344412104963	-0.404544632471382	0.169129333871405	1.78761690206989	0.56258766414736	0.503991351701668	0.215088618670979	0.792966579992305
160.0001019068	0.0202477677080704	-1.33265121477545	1.25095984669291	0.139629742898341	0.366814798950581	-0.494507894979614	0.194701017874829	-0.120573855739043	-0.81695514943841	-0.41985737912306	0.231505140017431	0.55607397828734	0.20515576493188	1.38525514594485	-0.454725832138435	0.836934033621617
170.0001019068	0.0116263452978463	-1.43983203890494	1.31636335090367	0.288677804427443	0.075176378650353	-0.559678587425994	0.284581282385419	0.188486353033118	-0.175801544016128	-0.34258536355875	0.0556517521499824	0.0143912215601439	0.829712473925359	1.34392950181522	-0.747605812384726	0.603231829072952
180.0001019068	0.0054895448341891	-1.42664666929178	1.19219546303951	0.23728656968952	-0.0661697080053505	-0.779117759844343	0.563735396072016	-0.131484673264184	0.38320757992835	-0.249446549686157	-0.279065117060835	-0.486870573694592	1.16984222622498	0.813101489839706	-0.756635234296834	-0.397466333241833
190.0001019068	0.00027049596190524	-1.2659573740661	0.160673957065943	1.67280465349452	-0.219488769915858	-1.01031104287925	0.892116741848982	0.214958745331676	0.620237448545392	-0.547121934211065	-0.313465441048851	-0.966233233072696	1.55131031899335	0.647647168193202	-0.290560077168867	-0.423693601162118
200.0001019068	-0.0200693954590674	-0.894880091795754	-1.28594967834119	1.50406474820471	-0.384261399863052	-0.925459964372387	0.72743143458918	0.767072088313966	0.380967728153027	-0.683592866922392	-0.312432921399413	-1.35321133653347	1.81562594582384	1.21829250107941	-0.203826009416122	-0.28269787382675
210.0001019068	-0.0576496667585817	-0.235764873764173	-1.20179797665959	1.3454608380559	-0.571214691503389	-0.663010345073991	0.41748136635668	0.854945028107599	0.33271358160106	-0.42651737792658	-0.247518453155267	-1.64772316052691	1.50573695902395	1.29945349160604	-0.00809618092503978	-0.0317277947068128

# Angle between ETDM and MTDM (degree)
Coordinate	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
30.0001019068	88.5885016429727	89.3669610180988	97.0150495659193	85.4446568865797	93.6659814083661	100.853122558146	81.7369700205523	87.6050765442363	84.6179795046812	86.6479312519154	94.3064113457502	86.28496755751	85.3863392065661	77.8528271195375	94.9636842047982	96.3417234563114
40.0001019068	88.2637074763842	88.4244680162523	95.3735884249399	86.8169163318099	95.8058152970738	100.846142970447	85.5165720038717	85.6264536692222	84.7464293469039	86.2576404094901	90.4507499644992	82.1106607212154	78.2319891419633	83.5209767166935	94.6877698860133	97.7314999744116
50.0001019068	88.1122937395261	87.2292590243804	94.5735125156563	89.4991799102867	96.9756534093137	99.4592966541932	91.7898160955371	81.7988660935873	84.5128831171075	85.8752034845579	87.9149463058408	80.4905419207359	79.0327633979514	92.1002401407928	85.7848221042295	98.1700569050734
60.0001019068	88.1517548860085	86.2035692667187	94.3408376364952	97.5085295146301	89.2833751643539	97.5350293177887	99.4428315601349	77.3167116544239	84.070338623473	85.0831142388491	88.900887481636	81.7310553928001	78.4085816942992	90.8318179660826	84.336784468832	91.7110772406223
70.0001019068	88.3464291121896	85.652932088675	94.1880994939499	97.595821595403	91.7797745357393	95.2910517095189	105.12729440359	75.4271173186687	84.7840675314858	83.6778960393836	94.4115037368641	83.8669268510217	90.7854881757385	76.574393520056	84.0832472931508	86.2204079877457
80.0001019068	88.6067040295449	85.7355490181916	93.8107710048534	97.0137388279285	93.1982202290627	93.0988170620002	107.143245246298	75.0676353140927	87.7300593209842	82.7858431216024	98.0827757293961	86.291968932354	90.7785958867341	73.9736571179275	86.1209725161823	81.7705868602428
90.0001019068	88.8524774895173	86.4443641330512	93.5659957041038	95.874508764283	93.8233925891073	91.6536532274612	105.38040634815	79.5129256105296	84.642509955055	84.4222740062938	99.5972234817627	88.4358824321152	90.0998374456511	73.1134358786913	88.9062366255555	79.231582355261
100.0001019068	89.0519555430346	87.5929130927628	94.2879816500539	93.2427768581954	94.2567914525872	91.2308963952708	101.401178330204	89.0397801562758	84.7223168941958	86.7370170223291	99.8849722183256	89.4655975692341	89.6568890699877	72.6187088770513	89.6037765652125	78.7824086692826
110.0001019068	89.189192716522	89.1499613237727	93.5093688860768	90.8869076652355	94.4096233073633	91.7248740835852	97.4786505322388	90.3851658613564	89.8004641325641	87.886972081531	99.1624821042843	88.8287079126702	89.6688468831015	73.7163833234968	86.3811011620472	79.1611741190839
120.0001019068	89.2975924968119	90.9741858018986	92.0813157191872	88.6689172489304	93.5422646864865	92.7810456626975	94.8608345424359	88.0147948030394	95.5950469914368	88.6127116807313	97.2322683495883	88.0732334644264	90.4915575619057	85.8274025438029	74.6392972946971	79.8907868045509
130.0001019068	89.3960014608025	92.9906976535912	90.448052832351	86.3854811466207	91.4055195019381	94.1733992116733	92.4355195416936	84.0122141472632	100.036431795078	90.2741252044654	94.2109613567835	87.5135784215537	86.3213884304503	87.0035348381872	77.3492660643272	82.0856464983474
140.0001019068	89.5042036581017	94.9048090112344	84.1477559017379	89.0436316137376	89.1759402584462	95.5640390877468	88.5613692584486	84.3958618327929	101.66094564647	92.2918688757401	90.9076144715119	81.436245690685	92.1153348710472	83.5204869528594	76.9387436091026	82.9996439911842
150.0001019068	89.6321621024283	96.474584739843	81.9472016572127	88.2201934651457	88.0150338405407	96.5990101192406	87.060935983051	90.4285288506358	99.8816845927049	93.5217927507116	88.6172714310841	82.5738302867702	85.6286030169451	85.7702093058045	88.200045718792	81.8839539641526
160.0001019068	89.7607135787095	97.415277616962	80.2936199093579	88.5369165084781	87.7885605495947	97.1625959003292	86.7525749158565	90.531358630551	95.8984079087563	93.3508378724573	88.2894560787237	85.4577160856088	89.2130257693192	81.4186130795429	94.0055027847055	81.392890073858
