# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       30.0001019068     -343.4824949420
       40.0001019068     -343.4829395610
       50.0001019068     -343.4832970590
       60.0001019068     -343.4834651610
       70.0001019068     -343.4834217720
       80.0001019068     -343.4832348120
       90.0001019068     -343.4830045020
      100.0001019068     -343.4828186650
      110.0001019068     -343.4827163090
      120.0001019068     -343.4827033630
      130.0001019068     -343.4827687440
      140.0001019068     -343.4829048170
      150.0001019068     -343.4831105550
      160.0001019068     -343.4833799150
      170.0001019068     -343.4836777340
      180.0001019068     -343.4839288430
      190.0001019068     -343.4840599580
      200.0001019068     -343.4840349890
      210.0001019068     -343.4838850650
