# Optical Values of phe_tddft (Ground State)

# Rotatory Strengths (erg esu cm Gauss^(-1))
Coordinate	S1	S2	S3
89.9999779253	-0.4174	8.5129	-5.6967	
99.9999779253	-0.6740	7.9542	-12.1032	
109.9999779253	-0.3127	6.8885	-11.9203	
119.9999779253	0.5516	5.6256	-11.1168	
129.9999779253	1.0165	4.8846	-9.9339	
139.9999779253	0.5274	5.1318	-7.8640	
149.9999779253	0.4259	5.1099	-5.3268	
159.9999779253	1.1417	4.7019	-1.4173	
169.9999779253	1.4358	4.9186	-2.7854	
179.9999779253	1.2056	5.4464	-2.3607	
189.9999779253	0.6201	5.8887	-0.6750	
199.9999779253	-0.0623	6.0019	1.1993	
209.9999779253	-0.6568	6.0459	2.9915	
219.9999779253	-1.1582	6.3258	4.2464	
229.9999779253	-1.3455	7.5003	2.3796	
239.9999779253	-0.3480	6.8553	-5.4854	
249.9999779253	-0.0805	8.0151	5.1492	
259.9999779253	-0.0859	8.3152	1.4487	
269.9999779253	-0.3805	8.4352	-4.6973	

# Oscillator Strength
Coordinate	S1	S2	S3
89.9999779253	0.0012	0.0029	0.0115
99.9999779253	0.0020	0.0028	0.0115
109.9999779253	0.0029	0.0022	0.0091
119.9999779253	0.0031	0.0016	0.0072
129.9999779253	0.0025	0.0012	0.0049
139.9999779253	0.0018	0.0014	0.0025
149.9999779253	0.0017	0.0016	0.0013
159.9999779253	0.0023	0.0016	0.0055
169.9999779253	0.0033	0.0016	0.0086
179.9999779253	0.0040	0.0017	0.0082
189.9999779253	0.0039	0.0020	0.0044
199.9999779253	0.0031	0.0023	0.0007
209.9999779253	0.0021	0.0026	0.0006
219.9999779253	0.0014	0.0030	0.0019
229.9999779253	0.0010	0.0034	0.0025
239.9999779253	0.0012	0.0022	0.0016
249.9999779253	0.0010	0.0023	0.0108
259.9999779253	0.0009	0.0025	0.0095
269.9999779253	0.0011	0.0028	0.0114

# Average of Oscillator Strength
S1	S2	S3
0.00213157894736842	0.00219473684210526	0.00598421052631579	

# g-factor
Coordinate	S1	S2	S3
89.9999779253	0.148666787056603	-1.1044587241189	0.86481992151193
99.9999779253	0.226658846165095	-1.18706378459803	1.57081944173085
109.9999779253	0.0829604341051279	-1.273166474063	1.54575280353109
119.9999779253	-0.116034559011318	-1.28435204675073	1.60539269312548
129.9999779253	-0.179935566295669	-1.214793556841	1.74498702678027
139.9999779253	-0.084609750504633	-1.08127165458416	1.50672390878864
149.9999779253	-0.0745141843585083	-0.714389176583237	0.84332247563079
159.9999779253	-0.207513779411782	-0.495787778815885	0.214051698599211
169.9999779253	-0.246384825191663	-0.441755528550364	0.477870002943012
179.9999779253	-0.195296411565846	-0.44394736753614	0.38524185753124
189.9999779253	-0.0988705116667109	-0.460762750844822	0.0976519097679947
199.9999779253	0.0110047454628304	-0.47289238914727	-0.151522832285476
209.9999779253	0.126839115995856	-0.49613808491403	-0.330401068687899
219.9999779253	0.258926109668788	-0.55040398323367	-0.493991265534527
229.9999779253	0.333097316871622	-0.710057005436363	-0.562120011621394
239.9999779253	0.0694096922600625	-1.11879897281075	0.186206385806272
249.9999779253	0.0187553363270851	-1.06345712546246	-0.570909188029095
259.9999779253	0.0258638179327574	-1.03091433275108	-0.210996834188875
269.9999779253	0.134626607050269	-1.08021577188898	0.732560847520363

# Angle between ETDM and MTDM (degree)
Coordinate	S1	S2	S3
89.9999779253	89.5366345314241	95.7299980979788	85.8538635009516
99.9999779253	89.2696499073295	95.7425182414126	81.8373574067947
109.9999779253	89.6997141969095	95.5339104404594	81.9643612360081
119.9999779253	90.4708986658884	95.0213270987201	82.0921988536329
129.9999779253	90.7968139847014	94.5503482658788	82.2072705610796
139.9999779253	90.3946905539935	94.3984319360712	83.5645932186794
149.9999779253	90.3328358729832	93.5658187094243	86.0413534690545
159.9999779253	90.9081778407419	92.8505832605546	88.9732237432215
169.9999779253	91.1100923884706	92.7507683568331	87.8463539418534
179.9999779253	90.9062553254846	92.9025986928064	88.2182742784732
189.9999779253	90.4606892404968	93.0735800044745	89.5222972916733
199.9999779253	89.9502385922144	93.1435457469808	90.7962257153417
209.9999779253	89.46129308414	93.2322822835683	91.8546012096729
219.9999779253	88.9797966605511	93.4841218478352	92.7028434805147
229.9999779253	88.7498716783027	94.3095170223723	92.1595567174341
239.9999779253	89.7101111756794	95.1751470626983	88.1131231046681
249.9999779253	89.9281687106751	95.4560967289102	93.2018183973521
259.9999779253	89.9113759227081	95.4710807003688	91.0325175011968
269.9999779253	89.5777437279537	95.6420845921529	86.5359228870528

