# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       89.9999779253     -554.7866301560
       99.9999779253     -554.7865736550
      109.9999779253     -554.7862389570
      119.9999779253     -554.7857093770
      129.9999779253     -554.7850525400
      139.9999779253     -554.7844004650
      149.9999779253     -554.7838290960
      159.9999779253     -554.7833244790
      169.9999779253     -554.7828430210
      179.9999779253     -554.7823625290
      189.9999779253     -554.7818965700
      199.9999779253     -554.7814574550
      209.9999779253     -554.7810595710
      219.9999779253     -554.7807576970
      229.9999779253     -554.7806915940
      239.9999779253     -554.7838979740
      249.9999779253     -554.7853361280
      259.9999779253     -554.7862248620
      269.9999779253     -554.7866134780
